puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16,0,120,3,"[(4, 2), (13, 15), (15, 11)]",5,"[(15, 11), (12, 8), (1, 11), (13, 13), (13, 15)]",3,0.262728214263916,False,2,uncorrectable,30,33,[],False,False,1.3007869720458984
hexasudoku_16x16,1,120,4,"[(2, 3), (3, 11), (11, 1), (12, 7)]",4,"[(2, 2), (2, 3), (11, 1), (1, 1)]",3,0.2599949836730957,False,2,uncorrectable,15,18,[],False,False,0.788621187210083
hexasudoku_16x16,2,120,3,"[(1, 8), (4, 10), (9, 12)]",4,"[(4, 10), (4, 11), (1, 9), (1, 8)]",3,0.25908923149108887,False,2,uncorrectable,15,18,[],False,False,0.7820930480957031
hexasudoku_16x16,3,120,3,"[(4, 6), (13, 7), (15, 2)]",120,"[(14, 2), (0, 12), (8, 4), (1, 8), (4, 10), (8, 2), (6, 5), (9, 10), (6, 3), (0, 9)]",3,13.640393257141113,True,3,uncorrectable,920,923,[],False,False,45.47047567367554
hexasudoku_16x16,4,120,6,"[(0, 15), (6, 4), (7, 0), (9, 12), (11, 10), (13, 9)]",4,"[(6, 4), (6, 7), (7, 0), (6, 1)]",3,0.2687652111053467,False,2,uncorrectable,15,18,[],False,False,0.8037459850311279
hexasudoku_16x16,5,120,5,"[(1, 11), (2, 13), (6, 8), (10, 0), (12, 4)]",5,"[(1, 11), (10, 0), (5, 0), (12, 11), (1, 2)]",3,0.2611668109893799,False,2,uncorrectable,30,33,[],False,False,1.2810640335083008
hexasudoku_16x16,6,120,4,"[(6, 2), (7, 8), (10, 12), (13, 9)]",4,"[(15, 12), (10, 12), (6, 2), (13, 2)]",3,0.2608320713043213,False,2,uncorrectable,15,18,[],False,False,0.8295669555664062
hexasudoku_16x16,7,120,2,"[(1, 4), (9, 13)]",120,"[(9, 13), (3, 3), (8, 6), (14, 15), (12, 11), (11, 15), (15, 2), (8, 8), (13, 1), (5, 4)]",3,6.399862051010132,True,2,single,1,4,"[(9, 13)]",False,False,6.815487861633301
hexasudoku_16x16,8,120,4,"[(10, 3), (10, 15), (11, 5), (12, 6)]",4,"[(11, 5), (12, 5), (10, 3), (10, 15)]",3,0.2679879665374756,False,3,uncorrectable,15,18,[],False,False,0.8011257648468018
hexasudoku_16x16,9,120,2,"[(1, 5), (12, 8)]",4,"[(12, 9), (12, 8), (1, 5), (1, 6)]",3,0.26347875595092773,True,2,uncorrectable,15,18,[],False,False,0.7760558128356934
hexasudoku_16x16,10,120,1,"[(7, 12)]",3,"[(7, 12), (10, 12), (6, 13)]",3,5.027480125427246,True,1,single,1,4,"[(7, 12)]",True,True,5.345515012741089
hexasudoku_16x16,11,120,4,"[(2, 5), (3, 6), (5, 15), (9, 12)]",5,"[(2, 5), (5, 15), (4, 15), (6, 5), (2, 12)]",3,0.2614457607269287,False,2,uncorrectable,30,33,[],False,False,1.2788288593292236
hexasudoku_16x16,12,120,3,"[(2, 2), (6, 1), (14, 10)]",5,"[(14, 10), (6, 1), (6, 13), (14, 3), (12, 10)]",3,0.26005983352661133,False,2,uncorrectable,30,33,[],False,False,1.3276050090789795
hexasudoku_16x16,13,120,3,"[(3, 1), (5, 13), (9, 8)]",112,"[(7, 1), (3, 1), (0, 0), (9, 5), (6, 9), (5, 5), (6, 3), (14, 7), (10, 15), (14, 8)]",3,1.812596082687378,True,3,uncorrectable,920,923,[],False,False,33.84921598434448
hexasudoku_16x16,14,120,3,"[(1, 6), (4, 9), (14, 11)]",4,"[(14, 9), (14, 11), (3, 4), (1, 6)]",3,0.2592759132385254,False,2,uncorrectable,15,18,[],False,False,0.8683211803436279
hexasudoku_16x16,15,120,4,"[(10, 11), (11, 13), (11, 15), (13, 0)]",4,"[(8, 15), (11, 15), (11, 13), (0, 13)]",3,0.2599658966064453,False,2,uncorrectable,15,18,[],False,False,0.7851860523223877
hexasudoku_16x16,16,120,2,"[(5, 11), (13, 14)]",120,"[(4, 0), (14, 8), (1, 0), (13, 15), (6, 2), (8, 2), (9, 14), (3, 1), (3, 11), (13, 5)]",3,9.836627960205078,True,2,uncorrectable,920,923,[],False,False,41.637624979019165
hexasudoku_16x16,17,120,2,"[(3, 9), (10, 13)]",30,"[(11, 9), (3, 9), (0, 15), (14, 13), (11, 5), (11, 3), (11, 14), (11, 2), (8, 13), (8, 15)]",3,0.5491640567779541,True,2,uncorrectable,920,923,[],False,False,34.085469007492065
hexasudoku_16x16,18,120,3,"[(7, 7), (8, 14), (9, 13)]",5,"[(7, 7), (8, 12), (8, 14), (9, 7), (4, 5)]",3,0.260983943939209,False,2,uncorrectable,30,33,[],False,False,1.3071391582489014
hexasudoku_16x16,19,120,1,"[(6, 4)]",120,"[(4, 15), (4, 3), (1, 4), (7, 6), (5, 10), (4, 11), (5, 11), (6, 0), (6, 2), (13, 4)]",51,192.84268188476562,True,1,uncorrectable,920,971,[],False,False,229.72369980812073
hexasudoku_16x16,20,120,4,"[(1, 0), (6, 11), (11, 14), (14, 5)]",4,"[(14, 5), (0, 5), (1, 1), (1, 0)]",3,0.2596757411956787,False,2,uncorrectable,15,18,[],False,False,0.8203620910644531
hexasudoku_16x16,21,120,3,"[(3, 3), (14, 4), (15, 3)]",5,"[(14, 4), (10, 3), (15, 3), (14, 5), (0, 4)]",3,0.2612640857696533,False,2,uncorrectable,30,33,[],False,False,1.3657739162445068
hexasudoku_16x16,22,120,3,"[(9, 0), (9, 13), (14, 11)]",4,"[(9, 13), (11, 13), (5, 11), (14, 11)]",3,0.2601487636566162,False,2,uncorrectable,15,18,[],False,False,0.8885612487792969
hexasudoku_16x16,23,120,2,"[(2, 5), (11, 2)]",4,"[(2, 5), (12, 5), (11, 2), (1, 2)]",3,0.276867151260376,True,2,two,6,9,"[(2, 5), (11, 2)]",True,True,0.7701139450073242
hexasudoku_16x16,24,120,2,"[(8, 6), (9, 0)]",64,"[(7, 0), (11, 1), (9, 0), (11, 8), (11, 5), (4, 6), (12, 6), (2, 8), (13, 0), (7, 8)]",3,2.99023699760437,True,2,uncorrectable,920,923,[],False,False,35.37347888946533
hexasudoku_16x16,25,120,3,"[(5, 5), (8, 12), (8, 14)]",4,"[(8, 12), (8, 14), (9, 12), (13, 14)]",3,0.25874996185302734,False,2,uncorrectable,15,18,[],False,False,1.0653879642486572
hexasudoku_16x16,26,120,2,"[(9, 5), (9, 12)]",4,"[(9, 12), (11, 15), (9, 5), (0, 5)]",3,0.26734089851379395,True,2,two,6,9,"[(9, 12), (9, 5)]",True,True,0.7422089576721191
hexasudoku_16x16,27,120,3,"[(0, 13), (7, 13), (13, 11)]",4,"[(7, 15), (7, 13), (0, 13), (2, 14)]",3,0.2655179500579834,False,2,uncorrectable,15,18,[],False,False,0.795494794845581
hexasudoku_16x16,28,120,2,"[(5, 12), (15, 0)]",4,"[(5, 4), (5, 12), (15, 0), (13, 1)]",3,0.2552189826965332,True,2,two,8,11,"[(5, 12), (15, 0)]",True,True,0.8384933471679688
hexasudoku_16x16,29,120,1,"[(13, 13)]",3,"[(13, 13), (15, 12), (13, 6)]",3,6.749398946762085,True,1,uncorrectable,7,10,[],False,False,6.991459131240845
hexasudoku_16x16,30,120,3,"[(3, 11), (9, 4), (14, 14)]",4,"[(13, 14), (14, 14), (3, 11), (0, 9)]",3,0.2568790912628174,False,2,uncorrectable,15,18,[],False,False,0.7724239826202393
hexasudoku_16x16,31,120,3,"[(5, 9), (6, 7), (14, 6)]",4,"[(14, 6), (5, 6), (3, 7), (6, 7)]",3,0.2583589553833008,False,2,uncorrectable,15,18,[],False,False,0.7699477672576904
hexasudoku_16x16,32,120,1,"[(5, 13)]",86,"[(5, 13), (7, 9), (0, 2), (0, 13), (3, 14), (3, 1), (10, 1), (3, 3), (1, 15), (11, 7)]",3,6.320469856262207,True,1,single,1,4,"[(5, 13)]",True,True,6.62248420715332
hexasudoku_16x16,33,120,3,"[(2, 6), (7, 15), (9, 13)]",119,"[(2, 12), (8, 3), (2, 6), (12, 3), (2, 0), (2, 11), (2, 10), (0, 3), (2, 13), (1, 3)]",3,4.081829786300659,True,3,two,71,74,"[(2, 6), (7, 15)]",False,False,7.191751003265381
hexasudoku_16x16,34,120,1,"[(14, 15)]",36,"[(14, 15), (2, 3), (1, 9), (2, 9), (3, 0), (11, 10), (3, 1), (2, 7), (2, 4), (3, 2)]",3,5.2382001876831055,True,1,single,1,4,"[(14, 15)]",True,True,5.418123960494995
hexasudoku_16x16,35,120,2,"[(4, 4), (9, 7)]",43,"[(4, 4), (13, 4), (4, 9), (7, 6), (11, 7), (10, 9), (10, 5), (11, 1), (9, 8), (9, 10)]",3,1.5691211223602295,True,2,uncorrectable,920,923,[],False,False,33.80904698371887
hexasudoku_16x16,36,120,5,"[(2, 7), (4, 3), (9, 15), (11, 2), (13, 3)]",4,"[(2, 7), (2, 8), (1, 15), (9, 15)]",3,0.25929999351501465,False,2,uncorrectable,15,18,[],False,False,0.7696471214294434
hexasudoku_16x16,37,120,2,"[(2, 9), (12, 7)]",83,"[(4, 14), (4, 8), (3, 7), (13, 7), (2, 15), (4, 12), (2, 9), (7, 4), (5, 6), (5, 2)]",3,1.9751391410827637,True,2,uncorrectable,920,923,[],False,False,33.716099977493286
