puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_value,true_digit_rank,true_digit_prob,confusion_type,cell_type,digit_errors
0,single,"(10, 12)",13,0.7735547423362732,12,2,0.45204511284828186,12->13 (ones: 2->3),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 3, 'true': 2, 'rank': 2, 'wrong': True}}"
0,single,"(11, 6)",70,0.906711608171463,10,2,0.10721195489168167,10->70 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 0, 'true': 0, 'rank': 1, 'wrong': False}}"
0,single,"(12, 14)",73,0.7952995002269745,13,2,0.4047260582447052,13->73 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
0,single,"(13, 12)",76,0.8625790476799011,16,2,0.25391876697540283,16->76 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 6, 'true': 6, 'rank': 1, 'wrong': False}}"
1,single,"(8, 0)",17,0.8656413555145264,11,2,0.25512364506721497,11->17 (ones: 1->7),double,"{'type': 'ones', 'tens': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}, 'ones': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}}"
1,single,"(9, 13)",73,0.8625792264938354,13,2,0.25391876697540283,13->73 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 3, 'true': 3, 'rank': 1, 'wrong': False}}"
1,single,"(15, 11)",4,0.9996415376663208,8,2,0.0003545932995621115,8->4,single,None
2,uncorrectable,"(7, 1)",4,0.8216263651847839,14,5,0.02018873393535614,14->4 (tens: 1->0),double,"{'type': 'tens', 'tens': {'predicted': 0, 'true': 1, 'rank': 5, 'wrong': True}, 'ones': {'predicted': 4, 'true': 4, 'rank': 1, 'wrong': False}}"
2,uncorrectable,"(8, 8)",17,0.9564042687416077,6,11,2.868300795933335e-20,6->17 (both digits),double,"{'type': 'both', 'tens': {'predicted': 1, 'true': 0, 'rank': 6, 'wrong': True}, 'ones': {'predicted': 7, 'true': 6, 'rank': 11, 'wrong': True}}"
2,uncorrectable,"(9, 11)",9,0.6160420179367065,8,2,0.3834701478481293,8->9,single,None
3,none,"(12, 14)",2,0.921559751033783,9,2,0.05147421360015869,9->2,single,None
4,uncorrectable,"(0, 8)",71,0.8774833083152771,11,2,0.23144501447677612,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
4,uncorrectable,"(0, 13)",45,0.8878206610679626,6,7,3.948164711831126e-11,6->45 (both digits),double,"{'type': 'both', 'tens': {'predicted': 4, 'true': 0, 'rank': 7, 'wrong': True}, 'ones': {'predicted': 5, 'true': 6, 'rank': 5, 'wrong': True}}"
4,uncorrectable,"(10, 7)",71,0.9999147653579712,11,2,0.00014206941705197096,11->71 (tens: 1->7),double,"{'type': 'tens', 'tens': {'predicted': 7, 'true': 1, 'rank': 2, 'wrong': True}, 'ones': {'predicted': 1, 'true': 1, 'rank': 1, 'wrong': False}}"
