size,puzzle_id,baseline_solved,corrected_solved,correction_type,attempts,solve_time_ms
3,0,True,True,baseline,1,234.23194885253906
3,1,True,True,baseline,1,141.373872756958
3,2,False,False,uncorrectable,18,524.5480537414551
3,3,True,True,baseline,1,127.23517417907715
3,4,True,True,baseline,1,124.84908103942871
3,5,False,False,uncorrectable,5,496.22201919555664
3,6,True,True,baseline,1,126.87301635742188
3,7,False,False,uncorrectable,132,715.4521942138672
3,8,True,True,baseline,1,123.5649585723877
3,9,True,True,baseline,1,129.03714179992676
3,10,True,True,baseline,1,120.9099292755127
3,11,True,True,baseline,1,120.73588371276855
3,12,False,False,uncorrectable,4,487.0181083679199
3,13,True,True,baseline,1,119.82893943786621
3,14,True,True,baseline,1,124.04513359069824
3,15,True,True,baseline,1,127.18486785888672
3,16,True,True,baseline,1,124.11308288574219
3,17,False,True,constraint_constraint_auto_1,3,134.33194160461426
3,18,False,True,constraint_constraint_single,12,147.63689041137695
3,19,True,True,baseline,1,124.82714653015137
3,20,True,True,baseline,1,135.96224784851074
3,21,False,True,constraint_constraint_single,5,148.28801155090332
3,22,True,True,baseline,1,145.92313766479492
3,23,False,False,uncorrectable,52,826.185941696167
3,24,True,True,baseline,1,225.10790824890137
3,25,False,False,uncorrectable,52,610.9182834625244
3,26,True,True,baseline,1,139.01209831237793
3,27,True,True,baseline,1,132.9200267791748
3,28,True,True,baseline,1,153.06591987609863
3,29,True,True,baseline,1,129.35495376586914
3,30,False,False,uncorrectable,3,519.0327167510986
3,31,True,True,baseline,1,123.2600212097168
3,32,True,True,baseline,1,122.44272232055664
3,33,False,True,constraint_constraint_single,4,145.03884315490723
3,34,True,True,baseline,1,128.2658576965332
3,35,True,True,baseline,1,126.4030933380127
3,36,True,True,baseline,1,126.91092491149902
3,37,True,True,baseline,1,124.76015090942383
3,38,False,True,constraint_constraint_single,7,150.75421333312988
3,39,True,True,baseline,1,125.55599212646484
3,40,True,True,baseline,1,128.58819961547852
3,41,False,True,constraint_constraint_single,3,162.38093376159668
3,42,True,True,baseline,1,130.98526000976562
3,43,True,True,baseline,1,130.4037570953369
3,44,False,True,constraint_constraint_single,3,141.84021949768066
3,45,True,True,baseline,1,126.64198875427246
3,46,False,True,constraint_constraint_single,3,135.47205924987793
3,47,True,True,baseline,1,127.23898887634277
3,48,False,False,uncorrectable,19,516.503095626831
3,49,False,True,constraint_constraint_auto_1,3,137.48693466186523
3,50,True,True,baseline,1,135.0419521331787
3,51,True,True,baseline,1,135.43415069580078
3,52,True,True,baseline,1,150.9718894958496
3,53,True,True,baseline,1,139.4491195678711
3,54,True,True,baseline,1,144.89197731018066
3,55,True,True,baseline,1,143.15414428710938
3,56,True,True,baseline,1,139.65487480163574
3,57,True,True,baseline,1,132.6768398284912
3,58,True,True,baseline,1,130.8281421661377
3,59,False,True,constraint_constraint_single,9,146.73614501953125
3,60,False,True,constraint_constraint_single,4,136.69610023498535
3,61,False,True,constraint_constraint_single,8,146.99387550354004
3,62,True,True,baseline,1,125.14185905456543
3,63,True,True,baseline,1,127.45404243469238
3,64,True,True,baseline,1,130.63979148864746
3,65,True,True,baseline,1,136.0940933227539
3,66,True,True,baseline,1,129.26435470581055
3,67,True,True,baseline,1,122.85089492797852
3,68,False,False,uncorrectable,153,765.5320167541504
3,69,True,True,baseline,1,126.97696685791016
3,70,True,True,baseline,1,127.15601921081543
3,71,True,True,baseline,1,129.18329238891602
3,72,True,True,baseline,1,126.00994110107422
