puzzle_type,puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_digit,true_digit_rank,true_digit_prob,confusion_type,full_ranking
sudoku_4x4,5,none,"(0, 2)",0,1.0,1,-1,0.0,1->empty,[]
sudoku_4x4,24,single,"(1, 0)",9,0.4461846947669983,4,4,0.0161969605833292,4->9,"[(9, 0.4461846947669983), (7, 0.2897195816040039), (1, 0.24754445254802704), (4, 0.0161969605833292), (5, 0.00013926254177931696)]"
sudoku_4x4,29,two,"(0, 3)",7,0.6176865100860596,2,2,0.3820345103740692,2->7,"[(7, 0.6176865100860596), (2, 0.3820345103740692), (3, 0.0002778863999992609), (1, 1.059968212757667e-06), (8, 2.635588414179324e-10)]"
sudoku_4x4,29,two,"(3, 3)",8,0.5378167033195496,3,2,0.4621100425720215,3->8,"[(8, 0.5378167033195496), (3, 0.4621100425720215), (9, 4.8178040742641315e-05), (5, 2.5037095838342793e-05), (2, 3.116518243473365e-08)]"
sudoku_4x4,41,none,"(2, 3)",0,1.0,1,-1,0.0,1->empty,[]
sudoku_4x4,47,single,"(0, 3)",9,0.8561846613883972,4,2,0.1432868242263794,4->9,"[(9, 0.8561846613883972), (4, 0.1432868242263794), (1, 0.0003864438913296908), (2, 8.370979776373133e-05), (7, 3.7957466702209786e-05)]"
sudoku_4x4,63,single,"(3, 0)",7,0.8925586342811584,1,2,0.08275686204433441,1->7,"[(7, 0.8925586342811584), (1, 0.08275686204433441), (3, 0.01701357401907444), (5, 0.0033547100611031055), (2, 0.0029515367932617664)]"
sudoku_4x4,74,single,"(1, 2)",7,0.8085537552833557,2,2,0.15486878156661987,2->7,"[(7, 0.8085537552833557), (2, 0.15486878156661987), (3, 0.036576054990291595), (1, 1.1739426781787188e-06), (9, 3.110151851615228e-07)]"
sudoku_4x4,77,single,"(3, 1)",7,0.9996384382247925,3,2,0.0003551265981514007,3->7,"[(7, 0.9996384382247925), (3, 0.0003551265981514007), (2, 6.299389951891499e-06), (1, 8.168950671461062e-08), (8, 1.7235702642892647e-08)]"
sudoku_4x4,78,single,"(3, 1)",9,0.8512905836105347,4,2,0.1487025022506714,4->9,"[(9, 0.8512905836105347), (4, 0.1487025022506714), (7, 6.774853318347596e-06), (3, 1.1368890540097709e-07), (5, 1.870251686852953e-08)]"
sudoku_4x4,88,single,"(0, 0)",9,0.7807786464691162,4,2,0.21903018653392792,4->9,"[(9, 0.7807786464691162), (4, 0.21903018653392792), (7, 0.00018239665951114148), (3, 8.052531484281644e-06), (5, 6.8174659872966e-07)]"
sudoku_9x9,1,single,"(2, 8)",9,0.9743379950523376,7,2,0.017095793038606644,7->9,"[(9, 0.9743379950523376), (7, 0.017095793038606644), (1, 0.008331979624927044), (8, 0.00019824356422759593), (5, 3.0359391530510038e-05)]"
sudoku_9x9,2,single,"(3, 3)",9,0.6968092322349548,6,3,0.14465022087097168,6->9,"[(9, 0.6968092322349548), (5, 0.15840540826320648), (6, 0.14465022087097168), (8, 8.885930583346635e-05), (2, 4.433042340679094e-05)]"
sudoku_9x9,4,two,"(2, 6)",7,0.9674898386001587,1,2,0.028958722949028015,1->7,"[(7, 0.9674898386001587), (1, 0.028958722949028015), (3, 0.0021165895741432905), (9, 0.0010886596282944083), (4, 0.0002503666328266263)]"
sudoku_9x9,4,two,"(8, 4)",1,0.7674232125282288,8,2,0.2104364037513733,8->1,"[(1, 0.7674232125282288), (8, 0.2104364037513733), (9, 0.02212735451757908), (4, 9.670216059021186e-06), (7, 2.7035741823056014e-06)]"
sudoku_9x9,7,none,"(2, 6)",2,0.9889740943908691,7,2,0.011025713756680489,7->2,"[(2, 0.9889740943908691), (7, 0.011025713756680489), (1, 7.608879570852878e-08), (3, 5.49756720147343e-08), (8, 1.1020380441539857e-10)]"
sudoku_9x9,12,none,"(4, 4)",3,0.9608075618743896,5,2,0.03919240087270737,5->3,"[(3, 0.9608075618743896), (5, 0.03919240087270737), (8, 6.07180764000681e-11), (9, 2.0120568351624651e-13), (1, 2.3794383686146815e-14)]"
sudoku_9x9,13,none,"(1, 6)",8,0.965848445892334,6,2,0.02871360257267952,6->8,"[(8, 0.965848445892334), (6, 0.02871360257267952), (5, 0.005359863396733999), (3, 5.6803775805747136e-05), (9, 1.0497125003894325e-05)]"
sudoku_9x9,20,single,"(4, 1)",3,0.9608075618743896,5,2,0.03919240087270737,5->3,"[(3, 0.9608075618743896), (5, 0.03919240087270737), (8, 6.07180764000681e-11), (9, 2.0120568351624651e-13), (1, 2.3794383686146815e-14)]"
sudoku_9x9,23,single,"(1, 3)",9,0.9859470129013062,5,2,0.014043360017240047,5->9,"[(9, 0.9859470129013062), (5, 0.014043360017240047), (3, 6.8466933953459375e-06), (8, 2.863838290068088e-06), (2, 4.275797915911638e-18)]"
sudoku_9x9,30,two,"(3, 5)",3,0.9996170997619629,5,2,0.00038283804315142334,5->3,"[(3, 0.9996170997619629), (5, 0.00038283804315142334), (8, 2.0272468148618827e-08), (9, 7.57987693878609e-13), (1, 1.6484035394622034e-16)]"
sudoku_9x9,30,two,"(8, 6)",3,0.9608075618743896,5,2,0.03919240087270737,5->3,"[(3, 0.9608075618743896), (5, 0.03919240087270737), (8, 6.07180764000681e-11), (9, 2.0120568351624651e-13), (1, 2.3794383686146815e-14)]"
sudoku_9x9,41,none,"(3, 2)",9,0.7274554967880249,4,2,0.2719971239566803,4->9,"[(9, 0.7274554967880249), (4, 0.2719971239566803), (8, 0.0005402935785241425), (6, 4.958731096849078e-06), (5, 1.6014103039196925e-06)]"
sudoku_9x9,43,none,"(7, 8)",9,0.9859470129013062,5,2,0.014043360017240047,5->9,"[(9, 0.9859470129013062), (5, 0.014043360017240047), (3, 6.8466933953459375e-06), (8, 2.863838290068088e-06), (2, 4.275797915911638e-18)]"
sudoku_9x9,44,none,"(5, 2)",5,0.9964630007743835,3,2,0.0035369344986975193,3->5,"[(5, 0.9964630007743835), (3, 0.0035369344986975193), (1, 1.0423761409583676e-07), (9, 4.984278767494743e-09), (2, 4.797926056454571e-09)]"
sudoku_9x9,48,single,"(6, 0)",5,0.9726089239120483,6,2,0.027369102463126183,6->5,"[(5, 0.9726089239120483), (6, 0.027369102463126183), (9, 1.958207576535642e-05), (8, 2.328417167518637e-06), (1, 1.0858985932671317e-09)]"
sudoku_9x9,55,single,"(5, 6)",4,0.527091920375824,9,2,0.47205179929733276,9->4,"[(4, 0.527091920375824), (9, 0.47205179929733276), (6, 0.000708922219928354), (5, 7.750512304482982e-05), (1, 6.618461338803172e-05)]"
sudoku_9x9,61,single,"(2, 1)",5,0.9726089239120483,6,2,0.027369102463126183,6->5,"[(5, 0.9726089239120483), (6, 0.027369102463126183), (9, 1.958207576535642e-05), (8, 2.328417167518637e-06), (1, 1.0858985932671317e-09)]"
sudoku_9x9,69,none,"(0, 3)",7,0.5336148738861084,2,2,0.4663851261138916,2->7,"[(7, 0.5336148738861084), (2, 0.4663851261138916), (8, 3.11249959139559e-09), (3, 1.5352781268518356e-09), (1, 4.874187511938466e-11)]"
sudoku_9x9,70,none,"(5, 7)",1,0.9153758883476257,9,2,0.08318329602479935,9->1,"[(1, 0.9153758883476257), (9, 0.08318329602479935), (2, 0.0007472358993254602), (8, 0.0003490280651021749), (7, 0.00018704462854657322)]"
sudoku_9x9,72,three,"(1, 7)",5,0.9726089239120483,6,2,0.027369102463126183,6->5,"[(5, 0.9726089239120483), (6, 0.027369102463126183), (9, 1.958207576535642e-05), (8, 2.328417167518637e-06), (1, 1.0858985932671317e-09)]"
sudoku_9x9,72,three,"(8, 1)",1,0.9740656018257141,7,2,0.025863617658615112,7->1,"[(1, 0.9740656018257141), (7, 0.025863617658615112), (9, 7.031865970930085e-05), (8, 2.3637960566702532e-07), (2, 1.1123587029260307e-07)]"
sudoku_9x9,73,single,"(5, 6)",8,0.9995535016059875,6,2,0.0004464361700229347,6->8,"[(8, 0.9995535016059875), (6, 0.0004464361700229347), (9, 4.3595534293672245e-08), (5, 1.0479259682227848e-09), (2, 9.355814040157284e-11)]"
sudoku_9x9,73,single,"(7, 6)",2,0.5849364995956421,8,2,0.3961694836616516,8->2,"[(2, 0.5849364995956421), (8, 0.3961694836616516), (3, 0.018854157999157906), (7, 2.5089755581575446e-05), (1, 1.4538989489665255e-05)]"
sudoku_9x9,76,single,"(2, 7)",9,0.7251467108726501,4,2,0.274852991104126,4->9,"[(9, 0.7251467108726501), (4, 0.274852991104126), (1, 2.763450481779728e-07), (8, 2.177609736975228e-08), (7, 1.4775222823004697e-08)]"
sudoku_9x9,85,single,"(3, 3)",3,0.8931318521499634,9,2,0.08483386039733887,9->3,"[(3, 0.8931318521499634), (9, 0.08483386039733887), (5, 0.01958991400897503), (8, 0.0024443669244647026), (1, 1.4574975004677526e-08)]"
sudoku_9x9,89,single,"(1, 2)",5,0.5526542663574219,3,2,0.4473443925380707,3->5,"[(5, 0.5526542663574219), (3, 0.4473443925380707), (8, 1.2160809319539112e-06), (9, 3.3869024917976276e-08), (1, 9.969163371696226e-18)]"
sudoku_9x9,94,single,"(7, 3)",3,0.9259206652641296,5,2,0.07398825883865356,5->3,"[(3, 0.9259206652641296), (5, 0.07398825883865356), (1, 6.260791269596666e-05), (7, 2.048452734015882e-05), (9, 7.447260031767655e-06)]"
sudoku_9x9,96,none,"(0, 6)",9,0.784232497215271,7,2,0.13105744123458862,7->9,"[(9, 0.784232497215271), (7, 0.13105744123458862), (1, 0.08080759644508362), (3, 0.0020704229827970266), (8, 0.001177227939479053)]"
sudoku_9x9,99,none,"(1, 3)",9,0.784232497215271,7,2,0.13105744123458862,7->9,"[(9, 0.784232497215271), (7, 0.13105744123458862), (1, 0.08080759644508362), (3, 0.0020704229827970266), (8, 0.001177227939479053)]"
hexasudoku_16x16,0,uncorrectable,"(5, 12)",6,0.9273636341094971,11,2,0.052786849439144135,B->6,"[(6, 0.9273636341094971), (11, 0.052786849439144135), (16, 0.01773820072412491), (8, 0.0021093888208270073), (13, 1.7646331116338843e-06)]"
hexasudoku_16x16,0,uncorrectable,"(5, 15)",10,0.5532323718070984,16,2,0.446767657995224,G->A,"[(10, 0.5532323718070984), (16, 0.446767657995224), (9, 1.1340329786335701e-09), (11, 5.104452416304639e-10), (14, 5.0738351020651606e-11)]"
hexasudoku_16x16,0,uncorrectable,"(7, 10)",12,0.8942220211029053,14,2,0.1057780459523201,E->C,"[(12, 0.8942220211029053), (14, 0.1057780459523201), (2, 5.881810039021218e-10), (16, 3.7556230347846054e-10), (13, 3.4849634289457754e-10)]"
hexasudoku_16x16,0,uncorrectable,"(11, 0)",8,0.4476129710674286,16,3,0.15688025951385498,G->8,"[(8, 0.4476129710674286), (5, 0.23769041895866394), (16, 0.15688025951385498), (3, 0.10682256519794464), (11, 0.022612687200307846)]"
hexasudoku_16x16,0,uncorrectable,"(12, 0)",8,0.9376518130302429,15,2,0.04004611447453499,F->8,"[(8, 0.9376518130302429), (15, 0.04004611447453499), (9, 0.016691315919160843), (16, 0.005244783125817776), (2, 0.00028711711638607085)]"
hexasudoku_16x16,1,uncorrectable,"(2, 6)",4,0.6257096529006958,9,2,0.37297865748405457,9->4,"[(4, 0.6257096529006958), (9, 0.37297865748405457), (6, 0.0011134737869724631), (5, 0.00016370757657568902), (16, 3.085646312683821e-05)]"
