puzzle_id,size,solved,correction_type,attempts,solve_time_ms
3_0,3,True,baseline,1,216
3_1,3,True,baseline,1,131
3_2,3,False,uncorrectable,2,508
3_3,3,True,baseline,1,128
3_4,3,True,baseline,1,127
3_5,3,False,uncorrectable,2,501
3_6,3,True,baseline,1,128
3_7,3,False,uncorrectable,2,498
3_8,3,True,baseline,1,125
3_9,3,True,baseline,1,137
3_10,3,True,baseline,1,127
3_11,3,True,baseline,1,125
3_12,3,True,single,4,140
3_13,3,True,baseline,1,121
3_14,3,True,baseline,1,127
3_15,3,True,baseline,1,127
3_16,3,True,baseline,1,125
3_17,3,True,single,3,140
3_18,3,False,uncorrectable,2,506
3_19,3,True,baseline,1,126
3_20,3,True,baseline,1,124
3_21,3,False,uncorrectable,2,495
3_22,3,True,baseline,1,133
3_23,3,False,uncorrectable,2,498
3_24,3,True,baseline,1,130
3_25,3,False,uncorrectable,2,510
3_26,3,True,baseline,1,129
3_27,3,True,baseline,1,123
3_28,3,True,baseline,1,128
3_29,3,True,baseline,1,127
3_30,3,False,uncorrectable,2,533
3_31,3,True,baseline,1,135
3_32,3,True,baseline,1,120
3_33,3,True,single,3,141
3_34,3,True,baseline,1,129
3_35,3,True,baseline,1,128
3_36,3,True,baseline,1,125
3_37,3,True,baseline,1,126
3_38,3,True,single,6,157
3_39,3,True,baseline,1,139
3_40,3,True,baseline,1,136
3_41,3,False,uncorrectable,2,502
3_42,3,True,baseline,1,131
3_43,3,True,baseline,1,129
3_44,3,True,single,5,154
3_45,3,True,baseline,1,126
3_46,3,False,uncorrectable,2,505
3_47,3,True,baseline,1,130
3_48,3,False,uncorrectable,2,495
3_49,3,True,single,3,144
3_50,3,True,baseline,1,128
3_51,3,True,baseline,1,126
3_52,3,True,baseline,1,125
3_53,3,True,baseline,1,127
3_54,3,True,baseline,1,126
3_55,3,True,baseline,1,132
3_56,3,True,baseline,1,130
3_57,3,True,baseline,1,126
3_58,3,True,baseline,1,124
3_59,3,True,single,6,147
3_60,3,True,two,33,194
3_61,3,True,single,4,140
3_62,3,True,baseline,1,125
3_63,3,True,baseline,1,127
3_64,3,True,baseline,1,131
3_65,3,True,baseline,1,127
3_66,3,True,baseline,1,133
3_67,3,True,baseline,1,124
3_68,3,False,uncorrectable,2,498
3_69,3,True,baseline,1,126
3_70,3,True,baseline,1,127
3_71,3,True,baseline,1,129
3_72,3,True,baseline,1,126
3_73,3,True,single,3,142
3_74,3,True,baseline,1,127
3_75,3,True,two,33,191
3_76,3,True,baseline,1,130
3_77,3,True,baseline,1,125
3_78,3,True,single,3,140
3_79,3,True,single,6,148
3_80,3,True,baseline,1,127
3_81,3,True,baseline,1,121
3_82,3,True,baseline,1,124
3_83,3,True,baseline,1,129
3_84,3,True,baseline,1,127
3_85,3,True,baseline,1,125
3_86,3,True,baseline,1,128
3_87,3,True,single,3,140
3_88,3,True,baseline,1,129
3_89,3,True,baseline,1,127
3_90,3,True,single,5,142
3_91,3,True,baseline,1,129
3_92,3,True,single,3,144
3_93,3,True,baseline,1,131
3_94,3,True,baseline,1,126
3_95,3,True,baseline,1,129
3_96,3,False,uncorrectable,2,528
3_97,3,True,single,6,142
3_98,3,True,single,3,139
3_99,3,True,baseline,1,126
4_0,4,True,single,3,194
4_1,4,True,single,4,185
4_2,4,False,uncorrectable,2,619
4_3,4,False,uncorrectable,2,616
4_4,4,True,baseline,1,158
4_5,4,True,single,3,180
4_6,4,True,baseline,1,155
4_7,4,False,uncorrectable,2,599
4_8,4,False,uncorrectable,2,591
4_9,4,True,single,3,180
4_10,4,False,uncorrectable,277,1353
4_11,4,True,baseline,1,166
4_12,4,True,baseline,1,153
4_13,4,True,baseline,1,158
4_14,4,True,baseline,1,158
4_15,4,False,uncorrectable,2,597
4_16,4,False,uncorrectable,2,605
4_17,4,True,single,6,205
4_18,4,True,baseline,1,153
4_19,4,True,single,6,202
4_20,4,True,baseline,1,154
4_21,4,True,single,8,187
4_22,4,True,single,3,183
4_23,4,False,uncorrectable,352,1672
4_24,4,True,two,33,275
4_25,4,False,uncorrectable,2,628
4_26,4,True,baseline,1,159
4_27,4,False,uncorrectable,2,594
4_28,4,True,single,4,184
4_29,4,True,baseline,1,163
4_30,4,False,uncorrectable,277,1457
4_31,4,False,uncorrectable,2,599
4_32,4,True,three,173,647
4_33,4,True,single,4,184
4_34,4,False,uncorrectable,2,603
4_35,4,True,baseline,1,149
4_36,4,True,single,3,170
4_37,4,True,baseline,1,154
4_38,4,True,baseline,1,153
4_39,4,False,uncorrectable,2,598
4_40,4,True,single,9,193
4_41,4,True,single,3,171
4_42,4,True,single,3,186
4_43,4,False,uncorrectable,2,583
4_44,4,True,single,3,179
4_45,4,True,baseline,1,160
4_46,4,True,single,3,183
4_47,4,True,baseline,1,151
4_48,4,True,two,53,331
4_49,4,False,uncorrectable,2,591
4_50,4,False,uncorrectable,2,594
4_51,4,True,baseline,1,154
4_52,4,True,baseline,1,154
4_53,4,True,baseline,1,158
4_54,4,True,single,3,185
4_55,4,True,baseline,1,158
4_56,4,True,baseline,1,164
4_57,4,True,two,33,278
4_58,4,True,baseline,1,153
4_59,4,True,single,3,175
4_60,4,True,baseline,1,153
4_61,4,False,uncorrectable,2,627
4_62,4,False,uncorrectable,2,602
4_63,4,True,baseline,1,152
4_64,4,True,baseline,1,153
4_65,4,True,single,5,188
4_66,4,True,baseline,1,156
4_67,4,True,baseline,1,153
4_68,4,True,single,6,189
4_69,4,True,single,7,221
4_70,4,False,uncorrectable,2,599
4_71,4,True,baseline,1,151
4_72,4,False,uncorrectable,2,608
4_73,4,True,baseline,1,149
4_74,4,False,uncorrectable,2,606
4_75,4,True,baseline,1,154
4_76,4,True,baseline,1,156
4_77,4,False,uncorrectable,2,607
4_78,4,True,single,5,233
4_79,4,True,baseline,1,153
4_80,4,True,single,3,177
4_81,4,True,baseline,1,154
4_82,4,True,baseline,1,151
4_83,4,True,baseline,1,154
4_84,4,True,single,6,207
4_85,4,True,baseline,1,154
4_86,4,False,uncorrectable,277,1598
4_87,4,True,baseline,1,159
4_88,4,False,uncorrectable,2,584
4_89,4,True,baseline,1,155
4_90,4,True,single,3,179
4_91,4,True,baseline,1,161
4_92,4,True,baseline,1,170
4_93,4,True,baseline,1,151
4_94,4,True,single,3,176
4_95,4,False,uncorrectable,132,1024
4_96,4,True,single,3,189
4_97,4,False,uncorrectable,2,631
4_98,4,True,baseline,1,157
4_99,4,False,uncorrectable,2,593
5_0,5,True,two,86,775
5_1,5,True,baseline,1,191
5_2,5,False,uncorrectable,2,688
5_3,5,False,uncorrectable,2,713
5_4,5,False,uncorrectable,152,1517
5_5,5,False,uncorrectable,2,716
5_6,5,True,baseline,1,192
5_7,5,True,single,9,248
5_8,5,False,uncorrectable,152,1522
5_9,5,True,baseline,1,186
5_10,5,False,uncorrectable,17,792
5_11,5,True,single,6,295
5_12,5,False,uncorrectable,2,720
5_13,5,False,uncorrectable,2,709
5_14,5,True,single,6,247
5_15,5,False,uncorrectable,2,715
5_16,5,True,baseline,1,201
5_17,5,False,uncorrectable,2,737
5_18,5,False,uncorrectable,2,692
5_19,5,False,uncorrectable,2,710
5_20,5,False,uncorrectable,2,699
5_21,5,False,uncorrectable,2,700
5_22,5,False,uncorrectable,2,694
5_23,5,True,baseline,1,182
5_24,5,True,two,116,849
5_25,5,True,single,4,242
5_26,5,False,uncorrectable,2,698
5_27,5,True,baseline,1,189
5_28,5,True,baseline,1,186
5_29,5,False,uncorrectable,2,698
5_30,5,True,two,69,804
