puzzle_id,size,solved,correction_type,attempts,solve_time_ms
3_0,3,True,operator_inference,2,197
3_1,3,True,baseline,1,152
3_2,3,True,operator_inference,2,133
3_3,3,True,baseline,1,129
3_4,3,True,baseline,1,128
3_5,3,True,operator_inference,2,130
3_6,3,True,baseline,1,136
3_7,3,True,operator_inference,2,137
3_8,3,True,baseline,1,134
3_9,3,True,baseline,1,140
3_10,3,True,baseline,1,136
3_11,3,True,baseline,1,130
3_12,3,True,baseline,1,132
3_13,3,True,operator_inference,2,133
3_14,3,True,baseline,1,127
3_15,3,True,baseline,1,133
3_16,3,True,baseline,1,127
3_17,3,True,operator_inference,2,128
3_18,3,True,operator_inference,2,131
3_19,3,True,baseline,1,127
3_20,3,True,baseline,1,132
3_21,3,True,baseline,1,129
3_22,3,True,operator_inference,2,133
3_23,3,True,baseline,1,130
3_24,3,True,baseline,1,134
3_25,3,True,baseline,1,134
3_26,3,True,baseline,1,133
3_27,3,True,baseline,1,128
3_28,3,True,baseline,1,133
3_29,3,True,operator_inference,2,133
3_30,3,True,operator_inference,2,138
3_31,3,True,operator_inference,2,128
3_32,3,True,baseline,1,125
3_33,3,True,baseline,1,130
3_34,3,True,operator_inference,2,132
3_35,3,True,operator_inference,2,127
3_36,3,True,baseline,1,123
3_37,3,True,baseline,1,124
3_38,3,True,operator_inference,2,131
3_39,3,True,baseline,1,124
3_40,3,True,baseline,1,128
3_41,3,True,baseline,1,127
3_42,3,True,baseline,1,133
3_43,3,True,operator_inference,2,132
3_44,3,True,baseline,1,131
3_45,3,True,baseline,1,129
3_46,3,True,baseline,1,130
3_47,3,True,baseline,1,127
3_48,3,True,operator_inference,2,126
3_49,3,True,baseline,1,145
3_50,3,True,baseline,1,160
3_51,3,True,baseline,1,150
3_52,3,True,operator_inference,2,148
3_53,3,True,baseline,1,137
3_54,3,True,baseline,1,136
3_55,3,True,baseline,1,154
3_56,3,True,baseline,1,138
3_57,3,True,operator_inference,2,138
3_58,3,True,operator_inference,2,136
3_59,3,True,baseline,1,134
3_60,3,True,baseline,1,130
3_61,3,True,baseline,1,128
