puzzle_id,size,image_path,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms,error_type,error_message
0,4,./board_images/board4_0.png,4,True,7,7,True,262.90202140808105,,
1,4,./board_images/board4_1.png,4,True,8,8,False,156.07213973999023,unsat,Z3 returned UNSAT
2,4,./board_images/board4_2.png,4,True,7,7,False,148.68688583374023,unsat,Z3 returned UNSAT
3,4,./board_images/board4_3.png,4,True,8,8,True,155.8058261871338,,
4,4,./board_images/board4_4.png,4,True,7,7,False,157.15789794921875,unsat,Z3 returned UNSAT
5,4,./board_images/board4_5.png,4,True,7,7,True,155.02595901489258,,
6,4,./board_images/board4_6.png,4,True,6,6,False,150.71988105773926,unsat,Z3 returned UNSAT
7,4,./board_images/board4_7.png,4,True,7,7,True,157.059907913208,,
8,4,./board_images/board4_8.png,4,True,8,8,False,163.69390487670898,unsat,Z3 returned UNSAT
9,4,./board_images/board4_9.png,4,True,7,7,False,195.40691375732422,unsat,Z3 returned UNSAT
10,4,./board_images/board4_10.png,4,True,7,7,True,169.6939468383789,,
11,4,./board_images/board4_11.png,4,True,7,7,False,223.76203536987305,unsat,Z3 returned UNSAT
12,4,./board_images/board4_12.png,4,True,7,7,True,170.2888011932373,,
13,4,./board_images/board4_13.png,4,True,7,7,True,153.96499633789062,,
14,4,./board_images/board4_14.png,4,True,8,8,False,152.51994132995605,unsat,Z3 returned UNSAT
15,4,./board_images/board4_15.png,4,True,6,6,False,158.34689140319824,unsat,Z3 returned UNSAT
16,4,./board_images/board4_16.png,4,True,7,7,True,151.19004249572754,,
17,4,./board_images/board4_17.png,4,True,7,7,True,152.91905403137207,,
18,4,./board_images/board4_18.png,4,True,7,7,False,154.30784225463867,unsat,Z3 returned UNSAT
19,4,./board_images/board4_19.png,4,True,7,7,False,148.1177806854248,unsat,Z3 returned UNSAT
20,4,./board_images/board4_20.png,4,True,6,6,False,150.93111991882324,unsat,Z3 returned UNSAT
21,4,./board_images/board4_21.png,4,True,7,7,False,153.05590629577637,unsat,Z3 returned UNSAT
22,4,./board_images/board4_22.png,4,True,7,7,True,155.7021141052246,,
23,4,./board_images/board4_23.png,4,True,8,8,True,153.24020385742188,,
24,4,./board_images/board4_24.png,4,True,7,7,True,157.00697898864746,,
25,4,./board_images/board4_25.png,4,True,7,7,False,156.6019058227539,unsat,Z3 returned UNSAT
